size_count,color_1,color_2,color_3,color_4,color_5,product_code
,Cloud White / Silver Metallic / Wonder Quartz S23,Almost Pink / Silver Dawn / Shadow Navy,,,Crystal White / Arctic Night F23 / Lucid Lemon F23,IF7283
,Cloud White / Silver Metallic / Wonder Quartz S23,Almost Pink / Silver Dawn / Shadow Navy,,,Crystal White / Arctic Night F23 / Lucid Lemon F23,IF7288
,Cloud White / Core Black / Cloud White,Aluminium / Grey Six / Orbit Grey S20,,,Crystal White / Arctic Night F23 / Lucid Lemon F23,GX4776
,Cloud White / Core Black / Cloud White,Aluminium / Grey Six / Orbit Grey S20,,,Crystal White / Arctic Night F23 / Lucid Lemon F23,IG3561
,Collegiate Navy / Core Black / Tech Indigo / Silver Violet,Dove Grey / Medium Lead / Stone / Grey Six,Tech Indigo / Collegiate Navy / Grey Six / Orchid Fusion F23,,Crystal White / Arctic Night F23 / Lucid Lemon F23,IQ9186
,Collegiate Navy / Core Black / Tech Indigo / Silver Violet,Dove Grey / Medium Lead / Stone / Grey Six,Tech Indigo / Collegiate Navy / Grey Six / Orchid Fusion F23,,Crystal White / Arctic Night F23 / Lucid Lemon F23,IQ9187
,Collegiate Navy / Core Black / Tech Indigo / Silver Violet,Dove Grey / Medium Lead / Stone / Grey Six,Tech Indigo / Collegiate Navy / Grey Six / Orchid Fusion F23,,Crystal White / Arctic Night F23 / Lucid Lemon F23,IQ9188
,Cloud White / Cloud White / Grey Two,Core Black / Core Black / Iron Metallic,Silver Dawn S23 / Cloud White / Silver Violet S23,Cloud White / Wonder Quartz / Blue Fusion,,GW7955
,Cloud White / Cloud White / Grey Two,Core Black / Core Black / Iron Metallic,Silver Dawn S23 / Cloud White / Silver Violet S23,Cloud White / Wonder Quartz / Blue Fusion,,GY0699
,Cloud White / Cloud White / Grey Two,Core Black / Core Black / Iron Metallic,Silver Dawn S23 / Cloud White / Silver Violet S23,Cloud White / Wonder Quartz / Blue Fusion,,HP6102
,Cloud White / Cloud White / Grey Two,Core Black / Core Black / Iron Metallic,Silver Dawn S23 / Cloud White / Silver Violet S23,Cloud White / Wonder Quartz / Blue Fusion,,HP6103
,Cloud White / Cloud White / Grey Two,Core Black / Core Black / Iron Metallic,Silver Dawn S23 / Cloud White / Silver Violet S23,Cloud White / Wonder Quartz / Blue Fusion,,IF5392
,Cloud White / Cloud White / Grey Two,Core Black / Core Black / Iron Metallic,Silver Dawn S23 / Cloud White / Silver Violet S23,Cloud White / Wonder Quartz / Blue Fusion,,IF5393
,Core Black / Semi Impact Orange F22 / Cloud White / Stone,Green Beauty / Bliss Blue F22 / Blue Night / Impact Yellow F22,,,,GB2620
,Core Black / Semi Impact Orange F22 / Cloud White / Stone,Green Beauty / Bliss Blue F22 / Blue Night / Impact Yellow F22,,,,GB2621
,Core Black / Beam Pink F22,Cloud White / Coffee Met. S23 / Stone,,,,GC0599
,Core Black / Beam Pink F22,Cloud White / Coffee Met. S23 / Stone,,,,GC0600
,Crew Blue / Grey Six / Off White,Grey / Off White / Wonder Beige F23,,,,IE4871
,Crew Blue / Grey Six / Off White,Grey / Off White / Wonder Beige F23,,,,IG0078
,Wonder Beige F23 / Wonder Beige F23 / Silver Pebble S23,Core White / Almost Yellow / Blue Dawn,Core White / Semi Flash Aqua / Almost Pink,,,IF7690
,Wonder Beige F23 / Wonder Beige F23 / Silver Pebble S23,Core White / Almost Yellow / Blue Dawn,Core White / Semi Flash Aqua / Almost Pink,,,IG3146
,Wonder Beige F23 / Wonder Beige F23 / Silver Pebble S23,Core White / Almost Yellow / Blue Dawn,Core White / Semi Flash Aqua / Almost Pink,,,IG3147
,Silver Pebble S23 / Aluminium / Purple Rush S22,Cloud White / Crystal White / Cloud White,Aluminium / Grey Four / Solar Gold,Legend Ink / Lucid Lemon F23 / Carbon,,HP3129
,Silver Pebble S23 / Aluminium / Purple Rush S22,Cloud White / Crystal White / Cloud White,Aluminium / Grey Four / Solar Gold,Legend Ink / Lucid Lemon F23 / Carbon,,HP3130
,Silver Pebble S23 / Aluminium / Purple Rush S22,Cloud White / Crystal White / Cloud White,Aluminium / Grey Four / Solar Gold,Legend Ink / Lucid Lemon F23 / Carbon,,ID9434
,Silver Pebble S23 / Aluminium / Purple Rush S22,Cloud White / Crystal White / Cloud White,Aluminium / Grey Four / Solar Gold,Legend Ink / Lucid Lemon F23 / Carbon,,ID9574
,Silver Pebble S23 / Aluminium / Purple Rush S22,Cloud White / Crystal White / Cloud White,Aluminium / Grey Four / Solar Gold,Legend Ink / Lucid Lemon F23 / Carbon,,ID9575
,Wonder Beige F23 / Wonder Beige F23 / Silver Pebble S23,Core Black / Core Black / Grey Six,,,,ID4263
,Wonder Beige F23 / Wonder Beige F23 / Silver Pebble S23,Core Black / Core Black / Grey Six,,,,IG5320
,Core Black / Core Black / Gum,Cloud White / Cloud White / Gum,,,,IG5234
,Core Black / Core Black / Gum,Cloud White / Cloud White / Gum,,,,IG5235
,Lucid Pink / Cloud White / Flash Aqua,Cloud White / Core Black / Core Black,Core Black / Cloud White / Core Black,Cloud White / Silver Metallic / Cloud White,,HP3339
,Lucid Pink / Cloud White / Flash Aqua,Cloud White / Core Black / Core Black,Core Black / Cloud White / Core Black,Cloud White / Silver Metallic / Cloud White,,HP3340
,Lucid Pink / Cloud White / Flash Aqua,Cloud White / Core Black / Core Black,Core Black / Cloud White / Core Black,Cloud White / Silver Metallic / Cloud White,,HR0634
,Lucid Pink / Cloud White / Flash Aqua,Cloud White / Core Black / Core Black,Core Black / Cloud White / Core Black,Cloud White / Silver Metallic / Cloud White,,HR0635
,Legend Ink / Legend Ink / Shadow Maroon F22,Carbon / Shadow Green / Semi Impact Orange,Core Black / Core Black / Core Black,,,GX4319
,Legend Ink / Legend Ink / Shadow Maroon F22,Carbon / Shadow Green / Semi Impact Orange,Core Black / Core Black / Core Black,,,GX4320
,Legend Ink / Legend Ink / Shadow Maroon F22,Carbon / Shadow Green / Semi Impact Orange,Core Black / Core Black / Core Black,,,H04296
,Shadow Violet / Silver Dawn / Core Black,Tech Onix / Stone / Lucid Cyan,Cloud White / Stone / Silver Violet,Orchid Fusion / Wonder Orchid,,IQ8906
,Shadow Violet / Silver Dawn / Core Black,Tech Onix / Stone / Lucid Cyan,Cloud White / Stone / Silver Violet,Orchid Fusion / Wonder Orchid,,IQ8907
,Shadow Violet / Silver Dawn / Core Black,Tech Onix / Stone / Lucid Cyan,Cloud White / Stone / Silver Violet,Orchid Fusion / Wonder Orchid,Linen Green / Zero Metalic / Lucid Lemon,IQ8908
,Shadow Violet / Silver Dawn / Core Black,Tech Onix / Stone / Lucid Cyan,Cloud White / Stone / Silver Violet,Orchid Fusion / Wonder Orchid,Linen Green / Zero Metalic / Lucid Lemon,IQ8909
,Cloud White / Cloud White / Grey Two,Silver Dawn S23 / Cloud White / Silver Violet S23,,,Linen Green / Zero Metalic / Lucid Lemon,GW7955
,Cloud White / Cloud White / Grey Two,Silver Dawn S23 / Cloud White / Silver Violet S23,,,Linen Green / Zero Metalic / Lucid Lemon,HP6102
,Silver Dawn S23 / Night Sky,Beam Pink F22 / Cloud White,Core Black / Dove Grey S20 / Coral Fusion S23,,Linen Green / Zero Metalic / Lucid Lemon,GC0552
,Wonder Beige F23 / Wonder Beige F23 / Silver Pebble S23,Core White / Almost Yellow / Blue Dawn,Core White / Semi Flash Aqua / Almost Pink,,,IF7690
